,Entity,Code,Year,Solar Capacity
96,Argentina,ARG,0.7302255423393827,-0.22538566448567793
97,Argentina,ARG,0.863821062271125,-0.22537897267394735
98,Argentina,ARG,0.9974165822028672,-0.22537553534988902
99,Argentina,ARG,1.1310121021346096,-0.22537553534988902
100,Argentina,ARG,1.2646076220663518,-0.22204005115859696
101,Argentina,ARG,1.398203141998094,-0.21745314332276736
102,Argentina,ARG,1.5317986619298365,-0.21156537288360366
103,Argentina,ARG,1.6653941818615787,-0.20594807231037093
104,Asia,ARG,-1.6744938164319783,-0.22442123911637316
105,Asia,ARG,-1.540898296500236,-0.22382153577002453
106,Asia,ARG,-1.4073027765684938,-0.22298963021335189
107,Asia,ARG,-1.2737072566367516,-0.22148854348361954
108,Asia,ARG,-1.140111736705009,-0.21875111711120135
109,Asia,ARG,-1.0065162167732669,-0.2162808150645216
110,Asia,ARG,-0.8729206968415246,-0.2125158295530118
111,Asia,ARG,-0.7393251769097824,-0.20815209181003375
112,Asia,ARG,-0.60572965697804,-0.20284643585687762
113,Asia,ARG,-0.4721341370462978,-0.19608829291377353
114,Asia,ARG,-0.3385386171145555,-0.18947233817139758
115,Asia,ARG,-0.20494309718281326,-0.18350289471857112
116,Asia,ARG,-0.07134757725107096,-0.17291602803707795
117,Asia,ARG,0.06224794268067132,-0.15670620748129444
118,Asia,ARG,0.1958434626124136,-0.12261311246538015
119,Asia,ARG,0.3294389825441559,-0.04482014288619497
120,Asia,ARG,0.46303450247589817,0.0769788754116661
121,Asia,ARG,0.5966300224076404,0.44322688741335176
122,Asia,ARG,0.7302255423393827,0.8928842736691635
123,Asia,ARG,0.863821062271125,1.4490366876313459
124,Asia,ARG,0.9974165822028672,2.3826888647946936
125,Asia,ARG,1.1310121021346096,3.747697054476214
126,Asia,ARG,1.2646076220663518,4.976751764194956
127,Asia,ARG,1.398203141998094,6.068060466021775
128,Asia,ARG,1.5317986619298365,7.519477863111145
129,Asia,ARG,1.6653941818615787,8.945102896888713
130,Asia Pacific (BP),ARG,-1.6744938164319783,-0.22412870089864212
131,Asia Pacific (BP),ARG,-1.540898296500236,-0.22347963172805138
132,Asia Pacific (BP),ARG,-1.4073027765684938,-0.22257459161694598
133,Asia Pacific (BP),ARG,-1.2737072566367516,-0.22103876597385805
134,Asia Pacific (BP),ARG,-1.140111736705009,-0.21830252803794942
135,Asia Pacific (BP),ARG,-1.0065162167732669,-0.21576283921707884
136,Asia Pacific (BP),ARG,-0.8729206968415246,-0.21191192096978329
137,Asia Pacific (BP),ARG,-0.7393251769097824,-0.2074640784892076
138,Asia Pacific (BP),ARG,-0.60572965697804,-0.20204012739425645
139,Asia Pacific (BP),ARG,-0.4721341370462978,-0.19520085811828394
140,Asia Pacific (BP),ARG,-0.3385386171145555,-0.188436039818724
141,Asia Pacific (BP),ARG,-0.20494309718281326,-0.1823321933384887
142,Asia Pacific (BP),ARG,-0.07134757725107096,-0.17157415523234573
143,Asia Pacific (BP),ARG,0.06224794268067132,-0.151442552702749
144,Asia Pacific (BP),ARG,0.1958434626124136,-0.1044042539390979
145,Asia Pacific (BP),ARG,0.3294389825441559,-0.0036321879534765675
146,Asia Pacific (BP),ARG,0.46303450247589817,0.14057196676763234
147,Asia Pacific (BP),ARG,0.5966300224076404,0.5175851292108796
148,Asia Pacific (BP),ARG,0.7302255423393827,0.9742035354921557
149,Asia Pacific (BP),ARG,0.863821062271125,1.5325662950929593
150,Asia Pacific (BP),ARG,0.9974165822028672,2.4584975842102867
151,Asia Pacific (BP),ARG,1.1310121021346096,3.7757366598093474
152,Asia Pacific (BP),ARG,1.2646076220663518,4.969884429533721
153,Asia Pacific (BP),ARG,1.398203141998094,6.066167378080284
154,Asia Pacific (BP),ARG,1.5317986619298365,7.550991542616219
155,Asia Pacific (BP),ARG,1.6653941818615787,8.945816324467202
156,Australia,AUS,-1.6744938164319783,-0.2252440028537417
157,Australia,AUS,-1.540898296500236,-0.2251891519379171
158,Australia,AUS,-1.4073027765684938,-0.22511601738348436
159,Australia,AUS,-1.2737072566367516,-0.22507945010626798
160,Australia,AUS,-1.140111736705009,-0.22507945010626798
161,Australia,AUS,-1.0065162167732669,-0.22500631555183523
162,Australia,AUS,-0.8729206968415246,-0.22491489735879427
163,Australia,AUS,-0.7393251769097824,-0.22482347916575332
164,Australia,AUS,-0.60572965697804,-0.22469549369549602
165,Australia,AUS,-0.4721341370462978,-0.22458579186384686
166,Australia,AUS,-0.3385386171145555,-0.22442123911637316
167,Australia,AUS,-0.20494309718281326,-0.22425668636889945
168,Australia,AUS,-0.07134757725107096,-0.22403728270560117
169,Australia,AUS,0.06224794268067132,-0.2195212239693783
170,Australia,AUS,0.1958434626124136,-0.20564394226576227
171,Australia,AUS,0.3294389825441559,-0.18037595370924406
172,Australia,AUS,0.46303450247589817,-0.15613184891478452
173,Australia,AUS,0.5966300224076404,-0.1420717308250866
174,Australia,AUS,0.7302255423393827,-0.12892579466579818
175,Australia,AUS,0.863821062271125,-0.11687687682300112
176,Australia,AUS,0.9974165822028672,-0.10329213333711616
177,Australia,AUS,1.1310121021346096,-0.09111523002406179
178,Australia,AUS,1.2646076220663518,-0.06787672535305266
