,Date-Hour(NMT),WindSpeed,Sunshine,AirPressure,Radiation,AirTemperature,RelativeAirHumidity,SystemProduction
4004,16.06.2017-20:00,-0.8226531389758364,-0.5281262988886889,-0.10644533297036708,-0.2036932217727939,1.3573560951699348,0.27391961168950524,0.06292136064503065
4005,16.06.2017-21:00,-1.4366544679038133,-0.2919439861562829,-0.0360956862934385,-0.3994967506823837,1.2389947169338669,0.5851569066525475,-0.2345836789043386
4006,16.06.2017-22:00,-0.9454534047614317,-0.5281262988886889,0.0029874507493005942,-0.5580043693234803,1.212692188436963,0.22204672919566487,-0.413871107446711
4007,16.06.2017-23:00,-0.6384527402974433,-0.5281262988886889,0.03425396038349009,-0.5706191625025295,1.1469358671947032,0.014555199220303369,-0.46037380082298074
4008,17.06.2017-00:00,-1.1296538034398247,-0.5281262988886889,0.08115372483477877,-0.5793946708009985,0.9233643749710199,0.6370297891463879,-0.46037380082298074
4009,17.06.2017-01:00,-0.699852873190241,-0.5281262988886889,0.12805348928606747,-0.5777492629950356,0.9496669034679237,0.3257924941833456,-0.46037380082298074
4010,17.06.2017-02:00,-0.5156524745118479,-0.5281262988886889,0.15150337151170737,-0.5755553859204183,0.870759317977212,0.3257924941833456,-0.46037380082298074
4011,17.06.2017-03:00,-0.08585154426226412,-0.5281262988886889,0.19840313596299605,-0.5706191625025295,0.7655492039895964,0.4814111416648667,-0.46037380082298074
4012,17.06.2017-04:00,-0.699852873190241,-0.1029981359703581,0.24530290041428474,-0.48889724147303676,0.7392466754926923,0.5851569066525475,-0.46037380082298074
4013,17.06.2017-05:00,-1.0682536705470271,0.41660295204093506,0.26875278263992464,-0.2503131096084105,0.897061846474116,0.42953825917102634,-0.46037380082298074
4014,17.06.2017-06:00,-0.9454534047614317,2.306061453900183,0.3078359196826637,0.5575821231193929,1.2258434526854152,-0.4004278607304196,-0.41846539205068084
4015,17.06.2017-07:00,-0.5156524745118479,2.306061453900183,0.3156525470912133,1.270043703101346,1.4494149449090985,-1.022902450656504,-0.3201934601539559
4016,17.06.2017-08:00,0.6509500504513083,2.306061453900183,0.3469190567254028,2.0082833387100516,1.5151712661513583,-1.282266863125706,-0.23267883985789503
4017,17.06.2017-09:00,0.09834885441612884,2.306061453900183,0.3547356841339524,2.7042908406323756,1.686137701381234,-1.2303939806318656,0.7315512636537171
4018,17.06.2017-10:00,-0.2086518100478596,2.306061453900183,0.3469190567254028,3.2039463443764555,1.7781965511203977,-1.4897583931010674,1.830807105264372
4019,17.06.2017-11:00,0.34394938598731983,1.7392239033424084,0.3781855663596012,2.7766887840947443,1.7650452868719455,-1.3341397456195463,2.685671868624876
