,Entity,Code,Year,Solar (% electricity)
71,Africa (BP),AFG,-0.9902919775378843,-0.288908699772628
72,Africa (BP),AFG,-0.8864016625876936,-0.288908699772628
73,Africa (BP),AFG,-0.782511347637503,-0.288908699772628
74,Africa (BP),AFG,-0.6786210326873122,-0.28755859689406665
75,Africa (BP),AFG,-0.5747307177371215,-0.2872869946259359
76,Africa (BP),AFG,-0.4708404027869308,-0.2871938819322177
77,Africa (BP),AFG,-0.3669500878367401,-0.28694751255693673
78,Africa (BP),AFG,-0.26305977288654936,-0.2866478246301358
79,Africa (BP),AFG,-0.15916945793635867,-0.2862993588870275
80,Africa (BP),AFG,-0.055279142986167956,-0.28568976662804296
81,Africa (BP),AFG,0.04861117196402275,-0.28479498284244564
82,Africa (BP),AFG,0.15250148691421347,-0.2831097704104803
83,Africa (BP),AFG,0.2563918018644042,-0.2813402299322046
84,Africa (BP),AFG,0.3602821168145949,-0.2729243438150061
85,Africa (BP),AFG,0.4641724317647856,-0.24549934579403096
86,Africa (BP),AFG,0.5680627467149764,-0.22053307407023912
87,Africa (BP),AFG,0.671953061665167,-0.2363323849648175
88,Africa (BP),AFG,0.7758433766153577,-0.16584767843551707
89,Africa (BP),AFG,0.8797336915655485,-0.08373823487227473
90,Africa (BP),AFG,0.9836240065157391,0.04599274406621795
91,Africa (BP),AFG,1.08751432146593,0.17910190139947096
92,Africa (BP),AFG,1.1914046364161206,0.29992804548804597
93,Africa (BP),AFG,1.2952949513663112,0.45072663033303323
94,Africa (BP),AFG,1.399185266316502,0.6457766795477663
95,Africa (BP),AFG,1.5030755812666927,0.6269253322629166
96,Africa (Ember),AFG,-0.6786210326873122,-0.288908699772628
97,Africa (Ember),AFG,-0.5747307177371215,-0.288908699772628
98,Africa (Ember),AFG,-0.4708404027869308,-0.2867557301986757
99,Africa (Ember),AFG,-0.3669500878367401,-0.2868573799882108
100,Africa (Ember),AFG,-0.26305977288654936,-0.28697693138095975
101,Africa (Ember),AFG,-0.15916945793635867,-0.2870504298165895
102,Africa (Ember),AFG,-0.055279142986167956,-0.2862322691211318
